CODGEO,LIBGEO,APL_MEDECINS,Pop_standardisee,CLASSE_ACCESSIBILITE
01152,Échallon,0.0,760.669,Très faible
01153,Échenevex,2.227,1948.073,Faible
01155,Évosges,0.006,145.965,Très faible
01156,Faramans,2.173,829.023,Faible
01157,Fareins,3.072,2410.716,Moyenne
01158,Farges,1.499,994.885,Très faible
01159,Feillens,3.922,3420.703,Très élevée
01160,Ferney-Voltaire,1.551,10224.716,Très faible
01162,Flaxieu,4.33,63.491,Très élevée
01163,Foissiat,1.915,2068.867,Très faible
01165,Francheleins,2.452,1488.01,Faible
01166,Frans,2.739,2404.892,Moyenne
01167,Garnerans,1.846,667.829,Très faible
01169,Genouilleux,2.392,609.153,Faible
01170,Béard-Géovreissiat,2.062,963.568,Faible
01171,Géovreisset,2.053,823.005,Faible
01173,Gex,2.372,12168.284,Faible
01174,Giron,3.154,173.608,Moyenne
01175,Gorrevod,1.484,786.899,Très faible
01177,Grand-Corent,1.612,189.999,Très faible
01179,Grièges,3.389,1957.319,Élevée
01180,Grilly,2.449,847.773,Faible
01181,Groissiat,2.495,1267.329,Faible
01183,Guéreins,2.089,1460.276,Faible
01184,Hautecourt-Romanèche,2.681,752.631,Moyenne
01185,Plateau d'Hauteville,1.703,5211.01,Très faible
01187,Haut Valromey,0.694,657.632,Très faible
01188,Illiat,2.068,652.116,Faible
01189,Injoux-Génissiat,0.711,1061.374,Très faible
01190,Innimond,0.103,94.255,Très faible
01191,Izenave,1.256,161.194,Très faible
01192,Izernore,1.952,2176.717,Faible
01193,Izieu,0.487,235.901,Très faible
01194,Jassans-Riottier,4.78,6485.805,Très élevée
01195,Jasseron,3.859,1935.466,Élevée
01196,Jayat,2.183,1178.191,Faible
01197,Journans,3.368,386.605,Élevée
01198,Joyeux,2.503,247.719,Faible
01199,Jujurieux,2.554,2110.885,Faible
01200,Labalme,1.153,202.134,Très faible
01202,Lagnieu,2.606,7337.051,Moyenne
01203,Laiz,2.88,1274.146,Moyenne
01204,Le Poizat-Lalleyriat,0.391,709.597,Très faible
01206,Lantenay,0.867,267.11,Très faible
01207,Lapeyrouse,3.344,314.013,Élevée
01208,Lavours,4.709,146.026,Très élevée
01209,Léaz,2.126,756.819,Faible
01210,Lélex,0.0,238.147,Très faible
01211,Lent,1.7,1370.978,Très faible
01212,Lescheroux,1.9,705.908,Très faible
01213,Leyment,3.958,1312.303,Très élevée
01214,Leyssard,0.893,163.757,Très faible
01215,Surjoux-Lhopital,0.942,145.908,Très faible
01216,Lhuis,1.242,981.781,Très faible
01219,Lompnas,0.184,167.769,Très faible
01224,Loyettes,2.695,3151.648,Moyenne
01225,Lurcy,1.855,395.974,Très faible
01227,Magnieu,3.984,662.075,Très élevée
01228,Maillat,2.642,657.12,Moyenne
01229,Malafretaz,1.93,1214.407,Faible
01230,Mantenay-Montlin,2.228,312.01,Faible
01231,Manziat,2.667,1972.224,Moyenne
01232,Marboz,2.895,2340.086,Moyenne
01233,Marchamp,0.205,138.327,Très faible
01234,Marignieu,3.6,175.413,Élevée
01235,Marlieux,2.429,1138.846,Faible
01236,Marsonnas,2.182,1006.316,Faible
01237,Martignat,2.389,1623.918,Faible
01238,Massieux,4.086,2643.839,Très élevée
01239,Massignieu-de-Rives,3.612,657.41,Élevée
01240,Matafelon-Granges,1.19,623.314,Très faible
01241,Meillonnas,2.52,1392.527,Faible
01242,Mérignat,2.098,126.037,Faible
01243,Messimy-sur-Saône,2.316,1256.491,Faible
01244,Meximieux,2.772,7877.768,Moyenne
01245,Bohas-Meyriat-Rignat,3.6,937.573,Élevée
01246,Mézériat,2.232,2186.228,Faible
01247,Mijoux,0.0,289.493,Très faible
01248,Mionnay,3.568,2155.376,Élevée
01249,Miribel,2.396,9946.663,Faible
01250,Misérieux,2.097,1872.411,Faible
01252,Mogneneins,1.91,787.838,Très faible
01254,Montagnat,4.126,2106.074,Très élevée
01255,Montagnieu,0.967,641.303,Très faible
01257,Montanges,1.085,345.073,Très faible
01258,Montceaux,2.416,1170.374,Faible
01259,Montcet,2.126,665.647,Faible
01260,Le Montellier,3.095,300.673,Moyenne
01261,Monthieux,2.988,669.285,Moyenne
01262,Montluel,3.414,6733.572,Élevée
01263,Montmerle-sur-Saône,2.283,3853.764,Faible
